id_mpio_postal;zona_postal;codigo_postal;id_mpio
955;1730;173060;17541
956;6810;681048;68318
957;7000;700009;70001
958;2506;250608;25407
959;7030;703030;70771
960;1111;111156;11001
961;6815;681547;68147
962;4750;475038;47555
963;2528;252830;25483
964;5450;545037;54680
965;5245;524520;52585
966;1920;192077;19743
967;1502;150247;15187
968;5235;523507;52788
969;9430;943067;94888
970;8550;855038;85440
971;7600;760016;76001
972;7640;764007;76364
973;2532;253257;25662
974;1516;151647;15757
975;1945;194558;19533
976;1945;194508;19693
977;6805;680567;68444
978;6815;681557;68686
979;1950;195060;19450
980;510;51070;5656
981;4170;417060;41530
982;8160;816018;81065
983;2720;272040;27135
984;2030;203020;20400
985;5070;507058;50318
986;6865;686508;68092
987;6330;633001;63470
988;6835;683578;68344
989;7600;760010;76001
990;1111;111176;11001
991;534;53447;5591
992;6805;680527;68867
993;534;53410;5893
994;2720;272057;27600
995;7600;760031;76001
996;840;84001;8560
997;6835;683507;68121
998;1524;152469;15542
999;7305;730580;73861
1000;8610;861047;86219
1001;7010;701030;70508
1002;1508;150820;15720
1003;534;53428;5579
1004;7600;760006;76001
1005;514;51460;5411
1006;1330;133007;13650
1007;7610;761048;76890
1008;1340;134068;13655
1009;5235;523527;52287
1010;6840;684058;68296
1011;5030;503061;50590
1012;5455;545537;54720
1013;810;81027;8832
1014;1524;152427;15047
1015;500;50016;5001
1016;2526;252627;25645
1017;5245;524540;52022
1018;570;57010;5543
1019;1548;154808;15531
1020;2300;230002;23001
1021;8550;855010;85162
1022;5280;528037;52621
1023;1935;193570;19256
1024;5470;547058;54206
1025;534;53440;5591
1026;1101;110111;11001
1027;6865;686569;68235
1028;5280;528009;52427
1029;5230;523080;52210
1030;4120;412080;41885
1031;1810;181058;18410
1032;500;50024;5001
1033;5205;520570;52051
1034;4720;472047;47030
1035;6845;684541;68271
1036;524;52447;5895
1037;550;55077;5282
1038;7610;761030;76616
1039;574;57467;5004
1040;1536;153608;15367
1041;2700;270070;27425
1042;4120;412087;41885
1043;5400;540019;54001
1044;2310;231029;23417
1045;7315;731587;73520
1046;2526;252640;25035
1047;5470;547037;54800
1048;4760;476027;47161
1049;2536;253647;25398
1050;8620;862047;86757
1051;574;57438;5234
1052;6855;685541;68327
1053;2010;201040;20032
1054;6860;686007;68573
1055;4410;441008;44560
1056;2508;250810;25873
1057;2720;272027;27160
1058;6320;632027;63212
1059;6300;630001;63001
1060;6815;681518;68207
1061;4100;410001;41001
1062;9150;915017;91669
1063;7320;732020;73443
1064;7335;733587;73770
1065;5450;545070;54418
1066;6840;684061;68895
1067;2532;253230;25867
1068;4770;477009;47745
1069;4760;476037;47205
1070;6815;681527;68152
1071;1538;153860;15776
1072;1116;111631;11001
1073;2300;230009;23001
1074;520;52030;5887
1075;1310;131029;13052
1076;6835;683568;68745
1077;9400;940018;94001
1078;554;55438;5607
1079;1920;192001;19821
1080;1340;134027;13006
1081;2518;251850;25335
1082;7625;762538;76736
1083;1532;153220;15380
1084;4740;474020;47707
1085;1325;132547;13780
1086;1540;154080;15476
1087;4440;444050;44110
1088;4750;475018;47058
1089;800;80004;8001
1090;1925;192508;19517
1091;1101;110151;11001
1092;830;83020;8433
1093;2504;250417;25793
1094;540;54010;5674
1095;1522;152210;15759
1096;2518;251830;25281
1097;5480;548050;54250
1098;7305;730520;73026
1099;4720;472020;47288
1100;1720;172029;17013
1101;1544;154427;15185
1102;1504;150448;15516
1103;2522;252201;25535
1104;7310;731040;73411
1105;2508;250830;25436
1106;1905;190538;19548
1107;5010;501017;50124
1108;6875;687527;68615
1109;7625;762517;76403
1110;850;85067;8421
1111;534;53430;5585
1112;6870;687069;68575
1113;500;50036;5001
1114;4420;442001;44430
1115;2500;250055;25754
1116;7600;760042;76001
1117;6835;683517;68549
1118;5470;547039;54800
1119;1120;112021;11001
1120;1548;154887;15480
1121;1516;151608;15183
1122;850;85060;8421
1123;574;57427;5480
1124;5020;502048;50568
1125;4110;411088;41206
1126;8100;810009;81001
1127;520;52020;5134
1128;4780;478060;47268
1129;500;50021;5001
1130;5420;542050;54377
